ano,2022,2023,2024,2025
2022,1.0,0.8181818181818182,0.8111888111888111,0.8391608391608392
2023,0.8181818181818182,1.0,0.965034965034965,0.7762237762237763
2024,0.8111888111888111,0.965034965034965,1.0,0.8601398601398601
2025,0.8391608391608392,0.7762237762237763,0.8601398601398601,1.0
