dia,n,media_movel_7d,incompleto
2022-01-01,164.0,176.5,False
2022-01-02,209.0,171.4,False
2022-01-03,193.0,169.33333333333334,False
2022-01-04,140.0,167.85714285714286,False
2022-01-05,151.0,172.42857142857142,False
2022-01-06,159.0,169.28571428571428,False
2022-01-07,159.0,163.42857142857142,False
2022-01-08,196.0,158.71428571428572,False
2022-01-09,187.0,155.14285714285714,False
2022-01-10,152.0,153.85714285714286,False
2022-01-11,107.0,156.14285714285714,False
2022-01-12,126.0,157.28571428571428,False
2022-01-13,150.0,159.85714285714286,False
2022-01-14,175.0,163.0,False
2022-01-15,204.0,169.28571428571428,False
2022-01-16,205.0,170.85714285714286,False
2022-01-17,174.0,170.42857142857142,False
2022-01-18,151.0,168.42857142857142,False
2022-01-19,137.0,168.57142857142858,False
2022-01-20,147.0,167.28571428571428,False
2022-01-21,161.0,161.14285714285714,False
2022-01-22,205.0,158.85714285714286,False
2022-01-23,196.0,158.28571428571428,False
2022-01-24,131.0,157.42857142857142,False
2022-01-25,135.0,160.71428571428572,False
2022-01-26,133.0,154.71428571428572,False
2022-01-27,141.0,150.85714285714286,False
2022-01-28,184.0,152.85714285714286,False
2022-01-29,163.0,150.85714285714286,False
2022-01-30,169.0,150.85714285714286,False
2022-01-31,145.0,149.14285714285714,False
2022-02-01,121.0,149.0,False
2022-02-02,133.0,156.14285714285714,False
2022-02-03,129.0,162.42857142857142,False
2022-02-04,183.0,168.71428571428572,False
2022-02-05,213.0,172.71428571428572,False
2022-02-06,213.0,174.14285714285714,False
2022-02-07,189.0,175.0,False
2022-02-08,149.0,175.57142857142858,False
2022-02-09,143.0,180.71428571428572,False
2022-02-10,135.0,181.85714285714286,False
2022-02-11,187.0,177.14285714285714,False
2022-02-12,249.0,175.57142857142858,False
2022-02-13,221.0,175.28571428571428,False
2022-02-14,156.0,176.57142857142858,False
2022-02-15,138.0,173.42857142857142,False
2022-02-16,141.0,166.71428571428572,False
2022-02-17,144.0,164.85714285714286,False
2022-02-18,165.0,167.42857142857142,False
2022-02-19,202.0,166.85714285714286,False
2022-02-20,208.0,167.85714285714286,False
2022-02-21,174.0,168.71428571428572,False
2022-02-22,134.0,176.57142857142858,False
2022-02-23,148.0,182.14285714285714,False
2022-02-24,150.0,184.85714285714286,False
2022-02-25,220.0,182.28571428571428,False
2022-02-26,241.0,186.42857142857142,False
2022-02-27,227.0,187.14285714285714,False
2022-02-28,156.0,193.42857142857142,False
2022-03-01,163.0,184.28571428571428,False
2022-03-02,153.0,179.42857142857142,False
2022-03-03,194.0,174.57142857142858,False
2022-03-04,156.0,174.0,False
2022-03-05,207.0,173.28571428571428,False
2022-03-06,193.0,174.85714285714286,False
2022-03-07,152.0,167.28571428571428,False
2022-03-08,158.0,172.57142857142858,False
2022-03-09,164.0,173.57142857142858,False
2022-03-10,141.0,177.14285714285714,False
2022-03-11,193.0,181.57142857142858,False
2022-03-12,214.0,180.0,False
2022-03-13,218.0,175.28571428571428,False
2022-03-14,183.0,173.71428571428572,False
2022-03-15,147.0,172.0,False
2022-03-16,131.0,171.57142857142858,False
2022-03-17,130.0,167.14285714285714,False
2022-03-18,181.0,163.57142857142858,False
2022-03-19,211.0,159.71428571428572,False
2022-03-20,187.0,160.0,False
2022-03-21,158.0,163.57142857142858,False
2022-03-22,120.0,162.71428571428572,False
2022-03-23,133.0,161.28571428571428,False
2022-03-24,155.0,161.0,False
2022-03-25,175.0,162.42857142857142,False
2022-03-26,201.0,161.71428571428572,False
2022-03-27,185.0,162.14285714285714,False
2022-03-28,168.0,161.85714285714286,False
2022-03-29,115.0,163.28571428571428,False
2022-03-30,136.0,165.0,False
2022-03-31,153.0,168.0,False
2022-04-01,185.0,166.0,False
2022-04-02,213.0,170.85714285714286,False
2022-04-03,206.0,174.28571428571428,False
2022-04-04,154.0,177.85714285714286,False
2022-04-05,149.0,181.85714285714286,False
2022-04-06,160.0,182.85714285714286,False
2022-04-07,178.0,182.14285714285714,False
2022-04-08,213.0,184.71428571428572,False
2022-04-09,220.0,185.71428571428572,False
2022-04-10,201.0,190.14285714285714,False
2022-04-11,172.0,193.57142857142858,False
2022-04-12,156.0,182.57142857142858,False
2022-04-13,191.0,172.42857142857142,False
2022-04-14,202.0,179.28571428571428,False
2022-04-15,136.0,181.85714285714286,False
2022-04-16,149.0,181.85714285714286,False
2022-04-17,249.0,176.42857142857142,False
2022-04-18,190.0,169.0,False
2022-04-19,156.0,173.85714285714286,False
2022-04-20,153.0,181.85714285714286,False
2022-04-21,150.0,176.42857142857142,False
2022-04-22,170.0,174.85714285714286,False
2022-04-23,205.0,170.71428571428572,False
2022-04-24,211.0,169.14285714285714,False
2022-04-25,179.0,167.42857142857142,False
2022-04-26,127.0,170.57142857142858,False
2022-04-27,142.0,168.71428571428572,False
2022-04-28,138.0,168.28571428571428,False
2022-04-29,192.0,168.71428571428572,False
2022-04-30,192.0,173.0,False
2022-05-01,208.0,172.85714285714286,False
2022-05-02,182.0,175.14285714285714,False
2022-05-03,157.0,173.0,False
2022-05-04,141.0,175.28571428571428,False
2022-05-05,154.0,175.57142857142858,False
2022-05-06,177.0,175.0,False
2022-05-07,208.0,174.57142857142858,False
2022-05-08,210.0,176.85714285714286,False
2022-05-09,178.0,177.85714285714286,False
2022-05-10,154.0,178.57142857142858,False
2022-05-11,157.0,179.0,False
2022-05-12,161.0,178.85714285714286,False
2022-05-13,182.0,178.14285714285714,False
2022-05-14,211.0,174.42857142857142,False
2022-05-15,209.0,170.14285714285714,False
2022-05-16,173.0,167.14285714285714,False
2022-05-17,128.0,167.57142857142858,False
2022-05-18,127.0,165.42857142857142,False
2022-05-19,140.0,163.42857142857142,False
2022-05-20,185.0,163.0,False
2022-05-21,196.0,166.85714285714286,False
2022-05-22,195.0,174.57142857142858,False
2022-05-23,170.0,176.28571428571428,False
2022-05-24,155.0,177.0,False
2022-05-25,181.0,177.71428571428572,False
2022-05-26,152.0,179.57142857142858,False
