categoria,n,pct
Céu Claro,195222,62.62
Nublado,48944,15.7
Chuva,31440,10.08
Sol,17540,5.63
Garoa/Chuvisco,11280,3.62
Ignorado,4108,1.32
Nevoeiro/Neblina,2717,0.87
Vento,485,0.16
Granizo,9,0.0
Neve,6,0.0
