categoria,n,pct
domingo,50780,16.29
sábado,50474,16.19
sexta-feira,48059,15.42
segunda-feira,43178,13.85
quinta-feira,40769,13.08
quarta-feira,39780,12.76
terça-feira,38711,12.42
