categoria,n,pct
MG,40433,12.97
SC,35934,11.53
PR,33376,10.71
RJ,26092,8.37
RS,22153,7.11
SP,20753,6.66
BA,17457,5.6
GO,14303,4.59
PE,13525,4.34
MT,10907,3.5
ES,10635,3.41
PB,7787,2.5
MS,7587,2.43
RO,6586,2.11
RN,6570,2.11
CE,6060,1.94
PI,6050,1.94
MA,5260,1.69
DF,4442,1.42
PA,4346,1.39
TO,2966,0.95
AL,2853,0.92
SE,2500,0.8
AC,1156,0.37
AP,718,0.23
RR,702,0.23
AM,600,0.19
