modelo,f1_treino,f1_validacao,f1_teste,recall_teste,precision_teste,roc_auc_teste,pr_auc_teste,accuracy_teste,gap_treino_teste_f1,gap_val_teste_f1
xgboost_tuned,0.515214483304978,0.4559191728769625,0.4439475433613344,0.5647728146382717,0.3657091651316772,0.6335956265148099,0.4007259933410424,0.6050310145736301,0.07126693994364358,0.01197162951562808
xgboost,0.5081516122364613,0.45583747493242655,0.4425815756264648,0.5662335665410932,0.3632552404438964,0.6320618594513535,0.3985251400446721,0.601811508660471,0.06557003660999655,0.013255899305961771
logistic_regression,0.44783916814582625,0.44675100632547443,0.4374266259685372,0.5729222726224341,0.3537621647282222,0.6220324505150651,0.38630854655114155,0.5885900710437638,0.010412542177289041,0.009324380356937223
logistic_regression_tuned,0.44783916814582625,0.44675100632547443,0.4374266259685372,0.5729222726224341,0.3537621647282222,0.6220324505150651,0.38630854655114155,0.5885900710437638,0.010412542177289041,0.009324380356937223
random_forest,0.505331019092487,0.44232960670177707,0.43360126083530337,0.5287921888214039,0.36745378779784166,0.6305560244926935,0.3991184613802717,0.614324654976283,0.07172975825718364,0.008728345866473697
decision_tree,0.45472967901728756,0.4415755802277878,0.4329321984150279,0.567002383332052,0.35014005602240894,0.6165388500357836,0.3812740309210622,0.5853276383850958,0.021797480602259667,0.00864338181275992
baseline_dummy,0.0,0.0,0.0,0.0,0.0,0.5,0.2791740894164109,0.7208259105835891,0.0,0.0
