feature,importancia_nativa,tipo_importancia
br_469.0,0.0041558146,feature_importances_ (impureza/gain)
uso_solo_Sim,0.0041068755,feature_importances_ (impureza/gain)
br_242.0,0.0040713605,feature_importances_ (impureza/gain)
uf_MS,0.004067004,feature_importances_ (impureza/gain)
br_425.0,0.004054691,feature_importances_ (impureza/gain)
br_408.0,0.004051704,feature_importances_ (impureza/gain)
br_467.0,0.0040400135,feature_importances_ (impureza/gain)
br_290.0,0.004039852,feature_importances_ (impureza/gain)
uf_CE,0.004035004,feature_importances_ (impureza/gain)
br_156.0,0.0039987057,feature_importances_ (impureza/gain)
br_463.0,0.003994083,feature_importances_ (impureza/gain)
uso_solo_Não,0.003993268,feature_importances_ (impureza/gain)
uf_TO,0.003966065,feature_importances_ (impureza/gain)
uf_SE,0.003965559,feature_importances_ (impureza/gain)
br_386.0,0.0039539733,feature_importances_ (impureza/gain)
tracado_aclive,0.003949249,feature_importances_ (impureza/gain)
br_174.0,0.0039398284,feature_importances_ (impureza/gain)
br_471.0,0.003868434,feature_importances_ (impureza/gain)
tracado_interseccao_de_vias,0.0038601244,feature_importances_ (impureza/gain)
br_465.0,0.0038531956,feature_importances_ (impureza/gain)
br_330.0,0.0037973868,feature_importances_ (impureza/gain)
br_222.0,0.003794937,feature_importances_ (impureza/gain)
sentido_via_Decrescente,0.003786592,feature_importances_ (impureza/gain)
br_230.0,0.003723336,feature_importances_ (impureza/gain)
uf_PB,0.0036891645,feature_importances_ (impureza/gain)
br_210.0,0.0036741158,feature_importances_ (impureza/gain)
uf_AM,0.0036624994,feature_importances_ (impureza/gain)
hora,0.0036463866,feature_importances_ (impureza/gain)
br_448.0,0.0036107001,feature_importances_ (impureza/gain)
dia_semana_terça-feira,0.0035325263,feature_importances_ (impureza/gain)
br_401.0,0.0035074195,feature_importances_ (impureza/gain)
dia_semana_domingo,0.0034974285,feature_importances_ (impureza/gain)
fase_dia_Anoitecer,0.0034851793,feature_importances_ (impureza/gain)
hora_sin,0.0034729599,feature_importances_ (impureza/gain)
br_317.0,0.0034661512,feature_importances_ (impureza/gain)
tracado_tunel,0.0034550214,feature_importances_ (impureza/gain)
fase_dia_Amanhecer,0.003445303,feature_importances_ (impureza/gain)
br_226.0,0.0034415217,feature_importances_ (impureza/gain)
dia_semana_quarta-feira,0.0034285656,feature_importances_ (impureza/gain)
mes,0.003319688,feature_importances_ (impureza/gain)
br_135.0,0.0033147456,feature_importances_ (impureza/gain)
br_418.0,0.0033141086,feature_importances_ (impureza/gain)
br_495.0,0.0033104348,feature_importances_ (impureza/gain)
br_423.0,0.003306902,feature_importances_ (impureza/gain)
dia_semana_quinta-feira,0.0032599252,feature_importances_ (impureza/gain)
br_30.0,0.0032344027,feature_importances_ (impureza/gain)
br_421.0,0.0032185256,feature_importances_ (impureza/gain)
br_361.0,0.0031815032,feature_importances_ (impureza/gain)
uf_AL,0.0031769935,feature_importances_ (impureza/gain)
br_424.0,0.003167425,feature_importances_ (impureza/gain)
sentido_via_Crescente,0.0031303694,feature_importances_ (impureza/gain)
dia_semana_sexta-feira,0.0030530316,feature_importances_ (impureza/gain)
br_416.0,0.0030454707,feature_importances_ (impureza/gain)
br_429.0,0.0030367146,feature_importances_ (impureza/gain)
dia_semana_segunda-feira,0.0029921976,feature_importances_ (impureza/gain)
dia_semana_sábado,0.0029556565,feature_importances_ (impureza/gain)
br_488.0,0.002773975,feature_importances_ (impureza/gain)
br_359.0,0.0027657053,feature_importances_ (impureza/gain)
br_155.0,0.002745764,feature_importances_ (impureza/gain)
br_403.0,0.002733729,feature_importances_ (impureza/gain)
br_432.0,0.002696869,feature_importances_ (impureza/gain)
uf_AC,0.0024231093,feature_importances_ (impureza/gain)
br_419.0,0.0022730844,feature_importances_ (impureza/gain)
br_447.0,0.0022115032,feature_importances_ (impureza/gain)
br_122.0,0.002039133,feature_importances_ (impureza/gain)
br_402.0,0.0018782724,feature_importances_ (impureza/gain)
br_307.0,0.0,feature_importances_ (impureza/gain)
br_265.0,0.0,feature_importances_ (impureza/gain)
br_466.0,0.0,feature_importances_ (impureza/gain)
br_437.0,0.0,feature_importances_ (impureza/gain)
br_434.0,0.0,feature_importances_ (impureza/gain)
br_436.0,0.0,feature_importances_ (impureza/gain)
br_430.0,0.0,feature_importances_ (impureza/gain)
br_433.0,0.0,feature_importances_ (impureza/gain)
br_422.0,0.0,feature_importances_ (impureza/gain)
br_426.0,0.0,feature_importances_ (impureza/gain)
br_342.0,0.0,feature_importances_ (impureza/gain)
br_363.0,0.0,feature_importances_ (impureza/gain)
br_352.0,0.0,feature_importances_ (impureza/gain)
br_498.0,0.0,feature_importances_ (impureza/gain)
br_485.0,0.0,feature_importances_ (impureza/gain)
br_484.0,0.0,feature_importances_ (impureza/gain)
br_482.0,0.0,feature_importances_ (impureza/gain)
br_494.0,0.0,feature_importances_ (impureza/gain)
