feature,importancia_permutacao_media,importancia_permutacao_std
latitude,0.02587435791917228,0.001720808439127294
tipo_pista,0.01601907803771836,0.0017120215177363674
municipio,0.013722588593851882,0.0013648396473975462
longitude,0.009966895352576204,0.0009623092933792399
hora_cos,0.008477614890847068,0.0008132315208453573
fase_dia,0.005522380039062092,0.0004981858752990546
tracado_reta,0.005095186611352126,0.0005021965544841464
br,0.004979203769934387,0.000876154549580825
uf,0.004427672678134781,0.0006768607458986353
km,0.003998446440333847,0.0014316174398212045
tracado_curva,0.003133557770282369,0.0005888544040455287
tracado_declive,0.0018655851428783453,0.0007390285204586591
sentido_via,0.0016473607636085298,0.0006899823214922609
uso_solo,0.0015500132181560488,0.0006152006916533733
tracado_rotatoria,0.0009241295374548375,0.00028977258415451777
tracado_aclive,0.0006471813124836523,0.00024094542224759226
hora,0.0004049497274105085,0.0007337629457028302
hora_sin,0.00039346957646752,0.0006884109720374787
km_valido,0.0003714472166232941,0.0001353136172122344
tracado_retorno_regulamentado,0.0002793901714295222,0.000349839073853632
tracado_em_obras,0.0002296628221866659,0.0001910642472880173
tracado_ponte,0.00018252699594539234,0.0001994814009128035
tracado_viaduto,0.00017897127669100343,0.0001582528928427261
tracado_tunel,1.1782330926096706e-05,3.3366395601058156e-05
br_valido,-1.422053572041615e-05,5.469071922477156e-05
fim_de_semana,-1.4861910179553295e-05,0.00034442128296725735
dia_semana,-4.1694966412947346e-05,0.00040261794501150625
tracado_interseccao_de_vias,-4.379846323296355e-05,0.00021527893271439179
tracado_desvio_temporario,-0.0001222456622392898,9.376598435123179e-05
mes,-0.00020747731829291461,0.0005477627051807855
